"id","name","slug","type","category","area","description","detailedDescription","customHtml","image1","image1Desc","image1FileId","image2","image2Desc","image2FileId","image3","image3Desc","image3FileId","website","phone","address","authorName","publishedDate","modifiedDate","directionsLink","amenities","featured","googleMapsUrl"
"1","Sweet Bliss Bakery","sweet-bliss-bakery","Restaurants","taste","Nellysford","Handmade cheesecakes, cakes, pies, and pastries are baked daily with local ingredients, never frozen, and often accented with liqueurs, nuts, and fruit.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>2789 Rockfish Valley Highway<br/> Nellysford, VA 22958<br/> <a href=""tel:434-465-6776"">434-465-6776</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/sweet-bliss-bakery-image1_FHF7TQVl9","Red bakery sign with gold patterns, hanging from black bracket, lit by lights.","","https://ik.imagekit.io/OE/nelson-county/listings/580491678_1383168947141534_4714761369298268773_n_97vkbKC3aK.jpg","Two tiramisu slices with cream topping on decorative red plate.","","https://ik.imagekit.io/OE/nelson-county/listings/579081421_1378529360938826_5551127572586969165_n_fiT4T_bUFw.jpg","Freshly baked muffins with cranberries in white paper liners on tray.","","https://www.facebook.com/thecheesecakelady123/","(434) 465-6776","2789 Rockfish Valley Highway, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=2789%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","Cafe; Coffee; Local Ingredients; Seasonal Menu; Tea","true","https://www.google.com/maps/dir/?api=1&destination=2789%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958"
"2","Terrace Café","terrace-cafe-at-wintergreen-resort","Coffee Shops","taste","Wintergreen Resort","Wintergreen Resort café pouring Starbucks beverages with breakfast sandwiches, sweet treats, and warm specialty drinks for skiers and resort guests. Wintergreen's Terrace Café pours Starbucks espresso drinks alongside breakfast sandwiches, pastries, and seasonal treats—a quick grab-and-go boost before hitting the slopes or trails. Hours shift with the resort season, so travelers can refuel morning or midday right on the Mountain Inn loop.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>39 Mountain Inn Loop<br/> Wintergreen, VA 22958<br/> <a href=""tel:434-325-8080"">434-325-8080</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/terrace-caf--image1_rtR-GB-_3","People enjoying coffee and conversation in cozy, stone-walled cafe with fireplace.","","","","","","","","https://www.wintergreenresort.com/terrace-cafe/","(434) 325-8080","39 Mountain Inn Loop, Wintergreen, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958","Breakfast; Desserts; Seasonal Menu; Coffee; Tea; Cafe; Biking; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958"
"3","Trager Brothers Coffee 1.0","trager-brothers-coffee-1-0","Coffee Shops","taste","Lovingston","Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships. Family-owned Trager Brothers Coffee roasts certified-organic beans to order in Lovingston, sight-roasting small batches and cupping each origin to highlight its flavor profile. The café pours fresh espresso, sells whole beans, and champions sustainable sourcing relationships with growers worldwide.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>486 Front St<br/> Lovingston, VA 22949<br/> <a href=""tel:434-263-8916"">434-263-8916</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7","Two people smiling, one holding coffee logo sticker towards camera.","","","","","","","","https://www.tbcroasters.com/","(434) 996-3138","486 Front Street, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","Coffee; Organic; Order Pickup; Tea; Cafe","true","https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949"
"4","Trager Brothers Coffee 2.0","trager-brothers-coffee-2-0","Coffee Shops","taste","Afton","The Afton outpost of Trager Brothers Coffee mirrors the flagship with on-site organic roasting, meticulous profile development, and hand-built espresso drinks.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>190 Rockfish Valley School Lane<br/> Afton, VA 22920<br/> <a href=""tel:434-263-8916"">434-263-8916</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L","Barista decorating coffee foam with chocolate in a black cup.","","","","","","","","https://www.tbcroasters.com/","(434) 263-8916","190 Rockfish Valley School Lane, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920","Coffee; Organic; Bar; Tea; Cafe; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920"
"5","Afton Market","afton-market","Markets & Delis","taste","Afton","Afton Market is a locally owned convenience stop offering fuel plus a short-order deli that fries up chicken, biscuits, and hot lunch plates. Travelers can grab freshly brewed coffee, fountain drinks, and road snacks before exploring the Blue Ridge Parkway or Nelson 151.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>10185 Rockfish Valley Highway<br/> Afton, VA 22920<br/> <a href=""tel:540-456-6111"">540-456-6111</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/Screenshot_2025-11-14_at_6.38.31_PM_U31i9aoWc.png","Gas station with cars, convenience store, and trees in the background.","","","","","","","","","(540) 456-6111","10185 Rockfish Valley Highway, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","Breakfast; Coffee; Deli; Fuel; Lunch; Market; Retail; Tea; Beer","false","https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920"
"6","Ashley's Market","ashleys-market","Markets & Delis","taste","Afton","Ashley's Market pairs gas pumps with a home-style deli serving breakfast biscuits, subs, fried chicken, and deli salads made to order. The family-run stop in Afton is a regular detour for locals stocking up on sundries or packing a picnic for nearby hikes and wineries.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>6445 Rockfish Valley Highway<br/> Afton, VA 22920<br/> <a href=""tel:434-361-2087"">434-361-2087</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS","Market storefront under clear blue sky with vending machines outside.","","https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2","Market entrance with vending machines under a clear blue sky.","","","","","https://www.facebook.com/ashleysmaket151/","(434) 361-2087","6445 Rockfish Valley Highway, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","Fuel; Breakfast; Deli; Lunch; Market; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920"
"7","Chicken Coop","chicken-coop","Markets & Delis","taste","Lovingston","Inside the Nelson Food Mart Exxon, Chicken Coop turns out crispy fried chicken, smoked barbecue, burgers, and hearty sandwiches plus sides like mac and cheese. It's a quick-service comfort-food counter where everything is cooked to order for dine-in or carryout.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>40 Front Street<br/> Afton, VA 22920<br/> <a href=""tel:434-263-7818"">434-263-7818</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd","Cars parked in front of a brick food market.","","","","","","","","","(434) 263-7818","40 Front Street, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","BBQ; Retail; Full Kitchen; Market; Deli","false","https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949"
"8","Colleen Deli","colleen-deli","Markets & Delis","taste","Arrington","Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar. Summertime brings a fresh salad bar, and the Exxon-side deli makes an easy fueling and food stop five miles south of Lovingston on Route 29.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>4071 Thomas Nelson Hwy<br/> Arrington VA 22922<br/> <a href=""tel:434-263-8300"">434-263-8300</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY","Gas station with red canopy, two pumps, parked cars, and convenience store in background.","","","","","","","","","(434) 263-8300","4071 Thomas Nelson Hwy, Arrington, VA 22922","josh","","","https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922","Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market","false","https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922"
"9","Corner Market","corner-market","Markets & Delis","taste","Schuyler","Corner Market in Shipman doubles as a neighborhood gas station and deli, opening early for biscuits and coffee before shifting to burgers and hot lunch items. It's a convenient restock point for anglers and river-goers headed toward the James and Tye Rivers.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>11309 James River Road<br/> Shipman, VA 22971<br/> <a href=""tel:434-263-5500"">434-263-5500</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES","Small convenience store with illuminated signs, parked car, and visible interior lights.","","","","","","","","","(434) 263-5500","11309 James River Road, Shipman, VA 22971","josh","","","https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971","Retail; Fuel; Breakfast; Deli; Lunch; Market; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971"
"10","Graves Grocery & Deli","graves-grocery-deli","Markets & Delis","community","Nellysford","Local grocery, gas, and deli stop with breakfast and lunch service for travelers along Route 151. Graves Grocery & Deli is a long-running Route 151 fixture where travelers top off the tank, grab breakfast sandwiches, and order made-to-order lunches before exploring the Rockfish Valley. Friendly counter service and quick deli classics make it a reliable daily stop.","","
<style>
.listing-accordions {
    margin: 1.5rem 0;
}
.accordion-item {
    border: 1px solid #e0e0e0;
    border-radius: 4px;
    margin-bottom: 0.5rem;
    overflow: hidden;
}
.accordion-header {
    width: 100%;
    padding: 1rem 1.5rem;
    background: #f8f9fa;
    border: none;
    text-align: left;
    font-size: 1.1rem;
    font-weight: 600;
    cursor: pointer;
    display: flex;
    justify-content: space-between;
    align-items: center;
    transition: background-color 0.2s;
}
.accordion-header:hover {
    background: #e9ecef;
}
.accordion-header[aria-expanded=""true""] .accordion-icon {
    transform: rotate(45deg);
}
.accordion-icon {
    font-size: 1.5rem;
    transition: transform 0.2s;
    color: #666;
}
.accordion-content {
    padding: 0;
}
.accordion-body {
    padding: 1.5rem;
    background: #fff;
}
.accordion-body p {
    margin: 0.75rem 0;
    line-height: 1.6;
}
.accordion-body ul, .accordion-body ol {
    margin: 0.75rem 0;
    padding-left: 1.5rem;
}
.accordion-body a {
    color: #0066cc;
    text-decoration: underline;
}
.accordion-body a:hover {
    color: #004499;
}
</style>
<script>
document.addEventListener('DOMContentLoaded', function() {
    document.querySelectorAll('.accordion-header').forEach(button => {
        button.addEventListener('click', function() {
            const isExpanded = this.getAttribute('aria-expanded') === 'true';
            const content = document.getElementById(this.getAttribute('aria-controls'));
            
            this.setAttribute('aria-expanded', !isExpanded);
            content.hidden = isExpanded;
        });
    });
});
</script>
    <div class=""listing-accordions"">

    <div class=""accordion-item"">
        <button class=""accordion-header"" type=""button"" aria-expanded=""false"" aria-controls=""accordion-1"">
            Contact
            <span class=""accordion-icon"">+</span>
        </button>
        <div class=""accordion-content"" id=""accordion-1"" hidden>
            <div class=""accordion-body"">
                <p>1779 Rockfish Valley Hwy.<br/> Nellysford, VA 22958<br/> <a href=""tel:434-361-2504"">434-361-2504</a></p>
            </div>
        </div>
    </div>
        
</div>","https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a","Storefront with red sign, vending machines, and newspaper stands outside.","","","","","","","","","(434) 361-2504","1779 Rockfish Valley Highway, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","Retail; Fuel; Breakfast; Lunch; Deli; Market; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958"
