"id","name","slug","type","category","area","description","customHtml","image1","image1Desc","image1FileId","image2","image2Desc","image2FileId","image3","image3Desc","image3FileId","website","phone","address","authorName","publishedDate","modifiedDate","directionsLink","amenities","featured","googleMapsUrl","accordionPanel1Title","accordionPanel1Content","accordionPanel2Title","accordionPanel2Content","accordionPanel3Title","accordionPanel3Content","accordionPanel4Title","accordionPanel4Content"
"3","Trager Brothers Coffee 1.0","trager-brothers-coffee-1-0","Coffee Shops","taste","Lovingston","TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. The café pours fresh espresso, sells whole beans, and champions sustainable sourcing relationships with growers worldwide.","","https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7","Two people smiling, one holding coffee logo sticker towards camera.","","","","","","","","https://www.tbcroasters.com/","(434) 996-3138","486 Front Street, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","Cafe; Coffee; Order Pickup; Organic; Tea","false","https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","History","Nestled in the heart of Lovingston, Trager Brothers Coffee 1.0 boasts a unique charm that is deeply intertwined with the town's rich history. Among its notable historical claims to fame, the town prides itself on a jail that was designed by none other than Thomas Jefferson, showcasing the architectural brilliance of the Founding Father. Equally significant, the Bright Hope Baptist Church stands as a testament to the enduring spirit of the community. Built in 1870, this historic African-American landmark was established for the freedmen and women residing in Nelson, serving as a beacon of hope and unity in the post-Civil War era. Together, these landmarks encapsulate the deep historical roots from which Trager Brothers Coffee draws its inspiration, blending the rich past with the vibrant present of Lovingston.","Contact & Location","Nestled in the heart of Lovingston, the Trager Brothers Coffee 1.0 café finds itself in a location steeped in rich history and community spirit. Adjacent to this family-owned coffee haven is the Bright Hope Baptist Church, an iconic African-American landmark that commands a sweeping view over the village. This church, alongside a school built in the same era, was established in 1870 as a beacon of hope and education for the freed men and women of Nelson County. The meticulously maintained grounds surrounding the church hold over 100 marked graves, serving as a poignant reminder of the area's deep historical roots and the enduring strength of its community. 

Trager Brothers Coffee 1.0 prides itself on being an integral part of this vibrant local history. As a small-batch, entirely ""a mano"" (by hand) operation, the café embodies the artisan spirit that has long thrived in the region. Specializing in sight roasting to order, they ensure that no roasted coffee is warehoused, guaranteeing the freshest espresso pours and whole bean sales. This dedication to quality and community makes a visit to Trager Brothers Coffee 1.0 not just a simple coffee run, but a rich, immersive experience into the heart of Lovingston's heritage.","","","",""
"4","Trager Brothers Coffee 2.0","trager-brothers-coffee-2-0","Coffee Shops","taste","Afton","Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee. TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind.","","https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L","Barista decorating coffee foam with chocolate in a black cup.","","","","","","","","https://www.tbcroasters.com/","(434) 263-8916","190 Rockfish Valley School Lane, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920","Coffee; Organic; Bar; Tea; Cafe; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920","Menu & Offerings","Nestled within the serene Rockfish Valley School campus, Trager Brothers Coffee 2.0 stands as a beacon for coffee connoisseurs and casual caffeine lovers alike. This family-owned and operated coffeehouse prides itself on its small-batch, meticulously crafted organic coffee. Far from the industrial process of mass coffee production, TBC adopts a uniquely 'a mano' or handcrafted approach to coffee roasting. The team at Trager Brothers does not believe in warehousing roasted coffee; instead, they sight roast each batch to order, ensuring the freshest and most aromatic coffee experience possible.

The dedication of the roasters and baristas at TBC is evident in every sip. They take great care in cupping each coffee they source, engaging in a collective effort to create roast profiles that not only preserve but enhance the inherent flavor characteristics unique to each origin. It's a meticulous process that showcases their commitment to quality and the art of coffee making.

What sets Trager Brothers Coffee 2.0 apart is its unwavering commitment to organic practices. Proudly serving only organic coffee, TBC is certified by the Organic Crop Improvement Association (OCIA), a testament to their dedication to sustainability and health. Whether you're grabbing a quick espresso on the go or seeking out freshly roasted beans to take home, Trager Brothers Coffee offers an authentic, enriching coffee experience that celebrates the rich tapestry of flavors coffee has to offer, all within the charming and inviting atmosphere of the Rockfish Valley School campus.","Contact & Location","Nestled in the heart of the scenic Rockfish Valley, Trager Brothers Coffee 2.0 offers a unique coffee experience that is both organic and deeply rooted in family tradition. Located at the historic Rockfish Valley School campus in Afton, Virginia, this charming coffeehouse is more than just a place to grab your morning espresso. With an address of 190 Rockfish Valley School Lane, Afton, VA 22920, it beckons travelers and coffee enthusiasts alike to explore its rich offerings.

At Trager Brothers Coffee 2.0, every cup of coffee is a testament to the art of small-batch roasting. This family-owned and operated establishment takes pride in its freshly roasted beans, ensuring that each espresso drink and grab-and-go service item reflects the quality and care that the Trager family is known for. The dedication to organic practices adds another layer of appeal, promising a delightful experience with every visit.

For those wishing to connect or inquire further, reaching out is made easy with their contact number, 434-263-8916. Whether you're a local resident or a traveler seeking a warm, inviting atmosphere, Trager Brothers Coffee 2.0 stands as a beacon of exceptional coffee craftsmanship in the picturesque setting of Afton, Virginia.","","","",""
"5","Afton Market","afton-market","Markets & Delis","taste","Afton","Afton Market is a locally owned convenience stop offering fuel plus a short-order deli that fries up chicken, biscuits, and hot lunch plates. Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.","","https://ik.imagekit.io/OE/nelson-county/listings/Screenshot_2025-11-14_at_6.38.31_PM_U31i9aoWc.png","Gas station with cars, convenience store, and trees in the background.","","","","","","","","","(540) 456-6111","10185 Rockfish Valley Highway, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","Breakfast; Coffee; Deli; Fuel; Lunch; Market; Retail; Tea; Beer","false","https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","Menu & Specialties","Nestled in the heart of the community, Afton Market stands as a beacon of local charm and convenience. This proudly locally owned establishment doesn't just serve as a place to refuel your vehicle; it's a haven where you can also satiate your cravings. As you step inside, you're greeted by the warm ambiance of a short-order deli that promises more than just a quick bite.

Afton Market truly shines when breakfast rolls around, offering a cozy start to your day with its welcoming deli. But the culinary delights don't end there. As noon approaches, the space transforms, presenting a lunch menu that's sure to tantalize your taste buds. At the heart of their specialties, you'll find their fried chicken, a dish that has garnered local acclaim for its crispy exterior and juicy interior, crafted to perfection. But the culinary experience doesn't stop with savory delights; the market also serves up an assortment of fresh coffee selections, ensuring that whether you're in need of an early morning pick-me-up or a midday boost, your needs are covered. And for those who prefer a cold refreshment, the fountain drinks offer a fizzy complement to any meal.

Afton Market represents more than just a stop along the way; it's a destination for those in search of authentic, delicious food coupled with the convenience of a gas station. Whether you're a local resident or just passing through, this market invites you to pause, refuel in every sense, and savor the simple pleasures of good food and warm hospitality.","Additional Menu Information","Nestled in the heart of Afton, the Afton Market stands as a beacon of local charm and convenience. This beloved establishment is not just any ordinary convenience stop; it's a locally-owned treasure that offers more than just fuel for your vehicle. Afton Market is renowned for its short-order deli, which has become a local favorite for frying up delectable chicken, fluffy biscuits, and hearty hot lunch plates that promise to satisfy any appetite.

But the appeal of Afton doesn't stop at the market's doors. For those looking to immerse themselves in the local culture and vibrancy of Afton during the warm summer months, the Nelson Farmer’s Market Cooperative is an essential destination. Held on Saturdays, this cooperative transforms into a bustling hub of activity, often serenaded by the lively tunes of live music, adding a soundtrack to your exploration of local wares and produce.

Further enhancing the allure of Afton as a day trip destination are the renowned wineries of Nelson. These wineries offer an excellent opportunity to dive into the local viticulture, providing a perfect complement to the down-home comfort found at Afton Market. Whether you're fueling up for a day of adventure or winding down with a plate from their delectable deli, Afton Market encapsulates the essence of local charm and convenience, making it a must-visit location for anyone venturing into this quaint corner of the world.","","","",""
"6","Ashley's Market","ashleys-market","Markets & Delis","taste","Afton","Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads. Ashley's Market pairs gas pumps with a home-style deli serving breakfast biscuits, subs, fried chicken, and deli salads made to order.","","https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS","Market storefront under clear blue sky with vending machines outside.","","https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2","Market entrance with vending machines under a clear blue sky.","","","","","https://www.facebook.com/ashleysmaket151/","(434) 361-2087","6445 Rockfish Valley Highway, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","Fuel; Breakfast; Deli; Lunch; Market; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","Menu & Specialties","Nestled at the heart of the community, Ashley's Market is not just your ordinary convenience store and gas station. This family-run gem stands out with its in-house deli that has become a beloved spot for both breakfast and lunch offerings. It's a place where fueling your car and satisfying your hunger pangs happen seamlessly under one roof.

At Ashley's Market, the menu shines with its array of specialties that cater to varied tastes. The deli takes pride in serving mouth-watering fried chicken, a dish that has garnered a loyal following among locals and travelers alike. For those in search of something a bit lighter, the selection of subs and deli salads offers a refreshing alternative, each prepared with the freshest ingredients and a touch of home-style cooking.

The breakfast biscuits are a particular highlight, promising a perfect start to your day with their fluffy texture and savory fillings. Come lunchtime, the sandwiches become the star of the show, featuring classic combinations and innovative creations that ensure every visit is a culinary adventure.

Ashley's Market has successfully created a welcoming atmosphere where convenience meets deliciousness. Whether you're stopping by to refuel your vehicle or your appetite, this establishment guarantees a delightful experience that blends the ease of a convenience store with the charm of a local deli.","Additional Menu Information","Nestled in the heart of Afton, Ashley's Market emerges as a quintessential stop for travelers and locals alike, blending the convenience of a family-run gas station with the charm of a home-style deli. This unique establishment offers more than just a place to refuel your car; it invites you to indulge in a culinary journey that starts with delectable breakfast biscuits in the morning and transitions to savory lunch sandwiches, fried chicken, and an assortment of deli salads as the day progresses. 

But the allure of Afton doesn't end at Ashley's doorstep. On a warm summer Saturday, the Nelson Farmer’s Market Cooperative becomes a hub of activity, where the community and visitors come together to enjoy not only the fresh, local produce but also the vibrant atmosphere enhanced by live music. The experience is a testament to the area's commitment to celebrating local culture and cuisine.

For those looking to extend their adventure, Afton's neighboring wineries offer an excellent day trip opportunity. These local wineries are renowned for their exquisite vintages, providing a perfect complement to the gastronomic delights found at Ashley's Market. The combination of Ashley's welcoming ambiance, the lively farmer's market, and the tranquil vineyards encapsulates the essence of Afton, making it a must-visit destination for anyone seeking a blend of culinary excellence and rustic charm.","","","",""
"7","Chicken Coop","chicken-coop","Markets & Delis","taste","Lovingston","Inside the Nelson Food Mart Exxon, Chicken Coop turns out crispy fried chicken, smoked barbecue, burgers, and hearty sandwiches plus sides like mac and cheese. It's a quick-service comfort-food counter where everything is cooked to order for dine-in or carryout.","","https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd","Cars parked in front of a brick food market.","","","","","","","","","(434) 263-7818","40 Front Street, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","BBQ; Retail; Full Kitchen; Market; Deli","false","https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","History","Nestled in the heart of Virginia, the charming historic village of Lovingstown began its story in 1809. Originating from a land grant, the need to establish both a courthouse and a county seat for the newly created Nelson County set the stage for Lovingstown's birth. It was in this pivotal year that James Loving laid down the foundation for what would become a quaint and picturesque village. The initial development saw 49 lots being meticulously parceled off in nearly equal measure, subsequently being sold to pave the way for the community's growth. This marked the beginning of Lovingstown's rich history, setting the stage for its evolution into the vibrant community it is today.","Contact & Location","Nestled within the heart of Lovingston, Chicken Coop offers a delightful culinary experience, tucked away inside the Nelson Food Mart Exxon. This quick-service comfort-food counter is renowned for its crispy fried chicken, smoked barbecue, burgers, and hearty sandwiches, accompanied by indulgent sides like mac and cheese. It's a gem for those in pursuit of satisfying, home-style cooking.

Just a stone's throw away from Chicken Coop, visitors can immerse themselves in the rich history of the area at Bright Hope Baptist Church. This historic African-American landmark, overlooking the quaint village of Lovingston, stands as a poignant reminder of the community's resilience and strength. Constructed in 1870 alongside a school, the church was established to serve the freed men and women of Nelson County in the aftermath of the Civil War. The well-preserved grounds are home to over 100 marked graves, offering a solemn and reflective space for visitors to pay their respects and learn more about the local history.

Whether you're drawn to the area by the allure of savory, comfort food at Chicken Coop or the historical significance of Bright Hope Baptist Church, Lovingston offers a rich tapestry of culinary and cultural experiences waiting to be explored.","","","",""
"8","Colleen Deli","colleen-deli","Markets & Delis","taste","Arrington","Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar. Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.","","https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY","Gas station with red canopy, two pumps, parked cars, and convenience store in background.","","","","","","","","","(434) 263-8300","4071 Thomas Nelson Hwy, Arrington, VA 22922","josh","","","https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922","Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market","false","https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922","Menu & Specialties","Featuring sandwiches, wraps, subs and more, plus homemade baked goods for your sweet tooth. Find us at the Colleen Exxon & Convenience Mart on Rt.","","","","","",""
"9","Corner Market","corner-market","Markets & Delis","taste","Schuyler","Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.","","https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES","Small convenience store with illuminated signs, parked car, and visible interior lights.","","","","","","","","","(434) 263-5500","11309 James River Road, Shipman, VA 22971","josh","","","https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971","Retail; Fuel; Breakfast; Deli; Lunch; Market; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971","Menu & Specialties","This convenience store and gas station features a deli open for breakfast and lunch.","History","S during the Great Depression. Those who travel to Schuyler are encouraged to visit The Walton’s Mountain Museum.","History & Background","At the Oakland Museum, Visitors can view an exhibit on The Rural Electrification Act, part of Roosevelt’s New Deal. Traveling teachers and students will enjoy the exhibit depicting the history of the area schools.","",""
"10","Graves Grocery & Deli","graves-grocery-deli","Markets & Delis","community","Nellysford","Graves Grocery & Deli is a long-running Route 151 fixture where travelers top off the tank, grab breakfast sandwiches, and order made-to-order lunches before exploring the Rockfish Valley. Friendly counter service and quick deli classics make it a reliable daily stop.","","https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a","Storefront with red sign, vending machines, and newspaper stands outside.","","","","","","","","","(434) 361-2504","1779 Rockfish Valley Highway, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","Retail; Fuel; Breakfast; Lunch; Deli; Market; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","Menu & Specialties","This convenience store and gas station features a deli open for breakfast and lunch.","","","","","",""
"11","Hickman's Exxon Grocery","hickmans-exxon-grocery","Markets & Delis","community","Roseland","Hickman's Exxon Grocery near Beech Grove supplies fuel, hunting gear, and a hot breakfast-and-lunch deli favored by Wintergreen visitors. The store also serves as a certified game-checking station, making it a handy hub during deer, bear, and turkey seasons.","","https://ik.imagekit.io/OE/nelson-county/listings/hickman-s-exxon-grocery-image1_s5gtjxUQJ","Small shop with red roof, 'Open' sign, and outdoor seating under sunny sky.","","","","","","","","","(434) 361-1205","1311 Beech Grove Road, Roseland, VA 22967","josh","","","https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967","Fuel; Breakfast; Lunch; Deli; Hunting; Market","false","https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967","Menu & Specialties","This convenience store and gas station features a deli open for Breakfast and Lunch daily.","","","","","",""
"12","IGA Blue Ridge Grocery","iga-blue-ridge-grocery","Markets & Delis","community","Nellysford","Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley.","","https://ik.imagekit.io/OE/nelson-county/listings/iga-blue-ridge-grocery-image1_9UYmGsIn7","Grocery store facade with shopping carts, icy machine, and open sign.","","","","","","","","","(434) 361-1105","2797 Rockfish Valley Highway, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","Market; Local Ingredients; Order Pickup; Parking; Deli; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","Contact & Location","2797 Rockfish Valley Highway Nellysford, VA 22958 434-361-1105.","","","","","",""
