id,name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl
3,Trager Brothers Coffee 1.0,trager-brothers-coffee-1-0,Coffee Shops,taste,Lovingston,"Discover Trager Brothers Coffee, a family-owned gem in Lovingston, VA, where every cup is crafted with care. Specializing in small-batch, organic coffee, they roast to order, ensuring the freshest flavors. Enjoy a warm atmosphere, sustainable sourcing, and expertly brewed espresso, all while supporting fair wages for farmers worldwide.",,,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7,"Two people smiling, one holding coffee logo sticker towards camera.",,,,,,,,https://www.tbcroasters.com/,(434) 263-8916,"486 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Cafe; Coffee; Order Pickup; Organic; Tea,false,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
4,Trager Brothers Coffee 2.0,trager-brothers-coffee-2-0,Coffee Shops,taste,Afton,"Nestled at the Rockfish Valley School campus, Trager Brothers Coffee 2.0 is a family-owned gem specializing in organic, small-batch coffee. With a commitment to sustainability and fresh, sight-roasted beans, each cup reflects the unique flavors of its origin. Stop by for expertly crafted espresso drinks and grab-and-go options in a welcoming atmosphere.",,,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L,Barista decorating coffee foam with chocolate in a black cup.,,,,,,,,https://www.tbcroasters.com/,(434) 263-8916,"190 Rockfish Valley School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Coffee; Organic; Bar; Tea; Cafe; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920
5,Afton Market,afton-market,Markets & Delis,taste,Afton,"Afton Market is a charming convenience store and gas station. Stop by for a hearty breakfast or lunch featuring specialties like fried chicken and fresh coffee. With a welcoming atmosphere and convenient access, it’s the perfect spot to refuel and grab a delicious bite on the go!",,,https://ik.imagekit.io/OE/nelson-county/listings/Screenshot_2025-11-14_at_6.38.31_PM_U31i9aoWc.png,"Gas station with cars, convenience store, and trees in the background.",,,,,,,,,(540) 456-6111,"10185 Rockfish Valley Highway, Afton, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Breakfast; Coffee; Deli; Fuel; Lunch; Market; Retail; Tea; Beer,false,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
6,Ashley's Market,ashleys-market,Markets & Delis,taste,Afton,"Visit Ashley's Market, a locally owned convenience store and gas station in Afton, VA, where you'll find more than just fuel. Our deli serves up delicious breakfast biscuits, hearty lunch sandwiches, and crispy fried chicken, complemented by fresh deli salads. Stop by for a quick meal or snack that feels like home!",,,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS,Market storefront under clear blue sky with vending machines outside.,,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2,Market entrance with vending machines under a clear blue sky.,,,,,https://www.facebook.com/ashleysmaket151/,(434) 361-2087,"6445 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Fuel; Breakfast; Deli; Lunch; Market; Hiking,false,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
7,Chicken Coop,chicken-coop,Markets & Delis,taste,Lovingston,"Chicken Coop offers a mouthwatering selection of homemade comfort food right at the Nelson Food Mart in Afton, VA. Enjoy crispy fried chicken, smoky barbecue, fresh burgers, and a variety of tasty subs—all perfect for breakfast or lunch. Stop by for a quick bite or a hearty meal, and don’t forget to try their creamy mac and cheese!",,,https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd,Cars parked in front of a brick food market.,,,,,,,,,(434) 263-7818,"40 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,BBQ; Retail; Full Kitchen; Market; Deli,false,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
8,Colleen Deli,colleen-deli,Markets & Delis,taste,Arrington,"Discover Colleen Deli, located within the Colleen Exxon & Convenience Mart on Rt. 29, just 5 miles south of Lovingston. Enjoy all-day breakfast, daily fried chicken, and a variety of sandwiches, wraps, and subs. Don’t forget to treat yourself to our homemade baked goods and refreshing summer salad bar, making every visit a delightful experience!",,,https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY,"Gas station with red canopy, two pumps, parked cars, and convenience store in background.",,,,,,,,,(434) 263-8300,"4071 Thomas Nelson Hwy, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922,,,,,,,,,,,,,,Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market,false,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922
9,Corner Market,corner-market,Markets & Delis,taste,Schuyler,"Corner Market is your go-to convenience store and gas station, providing a delightful deli experience with a variety of breakfast and lunch options. Stop by for delicious fried chicken, hearty subs, and fresh deli salads. This locally owned spot is perfect for a quick meal on the go.",,,https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES,"Small convenience store with illuminated signs, parked car, and visible interior lights.",,,,,,,,,(434) 263-5500,"11309 James River Road in Shipman, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971,,,,,,,,,,,,,,Retail; Fuel; Breakfast; Deli; Lunch; Market; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971
10,Graves Grocery & Deli,graves-grocery-deli,Markets & Delis,community,Nellysford,"Graves Grocery & Deli, a charming local fixture on Route 151, offers a perfect pit stop for travelers in the Rockfish Valley. Fuel up at the gas station and enjoy delicious breakfast and lunch options, including their famous fried chicken, hearty subs, and fresh deli salads. With friendly service and quick bites, it’s a must-visit for a satisfying meal on the go.",,,https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a,"Storefront with red sign, vending machines, and newspaper stands outside.",,,,,,,,,(434) 361-2504,"1779 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Retail; Fuel; Breakfast; Lunch; Deli; Market; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
11,Hickman's Exxon Grocery,hickmans-exxon-grocery,Markets & Delis,community,Roseland,"Hickman's Exxon Grocery in Roseland, VA, is your go-to stop for fuel, local hunting gear, and delicious deli offerings. Open daily for breakfast and lunch, savor specialties like fried chicken, subs, and fresh deli salads. As a certified game-checking station, it’s an essential hub for hunters during the season.",,,https://ik.imagekit.io/OE/nelson-county/listings/hickman-s-exxon-grocery-image1_s5gtjxUQJ,"Small shop with red roof, 'Open' sign, and outdoor seating under sunny sky.",,,,,,,,,(434) 361-1205,"1311 Beech Grove Road, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Fuel; Breakfast; Lunch; Deli; Hunting; Market,false,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967
12,IGA Blue Ridge Grocery,iga-blue-ridge-grocery,Markets & Delis,community,Nellysford,"Discover Blue Ridge Grocery, your friendly local supermarket in the heart of Rockfish Valley. With a wide selection of groceries and everyday essentials, this community store also features a delightful deli serving breakfast and lunch. Don’t miss their specialties like fried chicken, subs, and fresh deli salads.",,,https://ik.imagekit.io/OE/nelson-county/listings/iga-blue-ridge-grocery-image1_9UYmGsIn7,"Grocery store facade with shopping carts, icy machine, and open sign.",,,,,,,,,(434) 361-1105,"2797 Rockfish Valley Highway, Nellysford, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Market; Local Ingredients; Order Pickup; Parking; Deli; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
