id,name,slug,type,category,area,description,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,amenities,featured,googleMapsUrl,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content
3,Trager Brothers Coffee 1.0,trager-brothers-coffee-1-0,Coffee Shops,taste,Lovingston,"Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships. Family-owned Trager Brothers Coffee roasts certified-organic beans to order in Lovingston, sight-roasting small batches and cupping each origin to highlight its flavor profile. The café pours fresh espresso, sells whole beans, and champions sustainable sourcing relationships with growers worldwide. TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places.",,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7,"Two people smiling, one holding coffee logo sticker towards camera.",,,,,,,,https://www.tbcroasters.com/,(434) 996-3138,"486 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,Cafe; Coffee; Order Pickup; Organic; Tea,false,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,Menu & Offerings,"TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. Our roasters and baristas meticulously cup each coffee we source, collectively creating roast profiles that coax out and enhance the inherent flavor characteristics that are special to each particular origin. we're proud to serve only Organic coffee and are an OCIA certified Organic coffee roastery. we're committed to bringing you the highest quality.",Menu & Offerings,"Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places. Lovingston was defined as a “courthouse town” after the Nelson County Courthouse was built. One claim to fame is that that town jail was designed by Thomas Jefferson. Lovingston’s most historic African-American landmark is Bright Hope Baptist Church, which was built in 1870 for the freedmen and women living in Nelson. Present-day.",Experience,"Lovingstown, Virginia, as it was first named, began with a land grant and a need to build a courthouse and a county seat for the newly created Nelson County in 1809. The original 30 acres was donated by Mr. James Loving that same year and thus began the construction of this charming historic village. There were 49 lots parceled off in nearly equal measure and then sold. The lots were numbered for identification and were thereby known as those lot numbers.",Contact & Location,"Bright Hope Baptist Church, a historic African-American landmark in Lovingston that overlooks the village. The church was built along with a school in 1870 to serve the freed men and women of Nelson. The kept area has over 100 marked graves. Dinner Options in Lovingston include Vito’s Pizza & Italian Grill for classic and specialty pizzas and Italian entrees. El Mariachi Mexican Restaurant offers over one hundred menu choices and has a gift shop on-site."
4,Trager Brothers Coffee 2.0,trager-brothers-coffee-2-0,Coffee Shops,taste,Afton,"Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee. The Afton outpost of Trager Brothers Coffee mirrors the flagship with on-site organic roasting, meticulous profile development, and hand-built espresso drinks. TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. 190 Rockfish Valley School Lane Afton, VA 22920 434-263-8916.",,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L,Barista decorating coffee foam with chocolate in a black cup.,,,,,,,,https://www.tbcroasters.com/,(434) 263-8916,"190 Rockfish Valley School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920,Coffee; Organic; Bar; Tea; Cafe; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920,Menu & Offerings,"TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. Our roasters and baristas meticulously cup each coffee we source, collectively creating roast profiles that coax out and enhance the inherent flavor characteristics that are special to each particular origin. we're proud to serve only Organic coffee and are an OCIA certified Organic coffee roastery. we're committed to bringing you the highest quality.",Experience,"190 Rockfish Valley School Lane Afton, VA 22920 434-263-8916.",Events & Activities,There’s something to do in Afton every season of the year.,Events & Activities,"And live music. Nelson 151’s wineries often include food pairing. If you’d like to do a little shopping, check out the Nelson 151 gift shops or take a short drive to the Rockfish Valley Community Center, a repurposed school building featuring local shops. Purchase a piece of Nelsonite, Virginia’s state rock, at The Virginia Rock Shop. If you’re into local art, check out the Rockfish Pottery Collective or the Rockfish River Gallery."
5,Afton Market,afton-market,Markets & Delis,taste,Afton,"Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks. Afton Market is a locally owned convenience stop offering fuel plus a short-order deli that fries up chicken, biscuits, and hot lunch plates. There’s something to do in Afton every season of the year.",,https://ik.imagekit.io/OE/nelson-county/listings/Screenshot_2025-11-14_at_6.38.31_PM_U31i9aoWc.png,"Gas station with cars, convenience store, and trees in the background.",,,,,,,,,(540) 456-6111,"10185 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Breakfast; Coffee; Deli; Fuel; Lunch; Market; Retail; Tea; Beer,false,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Hours & Information,"Convenience store and gas. Deli open for breakfast and lunch. Specialties include fried chicken, fresh coffee and fountain drinks.",Events & Activities,There’s something to do in Afton every season of the year.,Events & Activities,"And live music. Nelson 151’s wineries often include food pairing. If you’d like to do a little shopping, check out the Nelson 151 gift shops or take a short drive to the Rockfish Valley Community Center, a repurposed school building featuring local shops. Purchase a piece of Nelsonite, Virginia’s state rock, at The Virginia Rock Shop. If you’re into local art, check out the Rockfish Pottery Collective or the Rockfish River Gallery.",Events & Activities,"Live music performances, good food, and inventive, hand-crafted beverages. If you’re planning on spending a hot summer day in Afton, check out the Nelson Farmer’s Market Cooperative one Saturday. Local vendors gather there to sell fresh produce and hand-crafted goodies. Often, there’s live music. Nelson’s wineries make for an excellent day trip as well."
6,Ashley's Market,ashleys-market,Markets & Delis,taste,Afton,"Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads. Ashley's Market pairs gas pumps with a home-style deli serving breakfast biscuits, subs, fried chicken, and deli salads made to order. The family-run stop in Afton is a regular detour for locals stocking up on sundries or packing a picnic for nearby hikes and wineries. There’s something to do in Afton every season of the year.",,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS,Market storefront under clear blue sky with vending machines outside.,,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2,Market entrance with vending machines under a clear blue sky.,,,,,https://www.facebook.com/ashleysmaket151/,(434) 361-2087,"6445 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Fuel; Breakfast; Deli; Lunch; Market; Hiking,false,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Hours & Information,"Locally owned convenience and gas store. The Deli is open for breakfast and lunch. Specialties include fried chicken, subs, and deli salads.",Events & Activities,There’s something to do in Afton every season of the year.,Events & Activities,"And live music. Nelson 151’s wineries often include food pairing. If you’d like to do a little shopping, check out the Nelson 151 gift shops or take a short drive to the Rockfish Valley Community Center, a repurposed school building featuring local shops. Purchase a piece of Nelsonite, Virginia’s state rock, at The Virginia Rock Shop. If you’re into local art, check out the Rockfish Pottery Collective or the Rockfish River Gallery.",Events & Activities,"Live music performances, good food, and inventive, hand-crafted beverages. If you’re planning on spending a hot summer day in Afton, check out the Nelson Farmer’s Market Cooperative one Saturday. Local vendors gather there to sell fresh produce and hand-crafted goodies. Often, there’s live music. Nelson’s wineries make for an excellent day trip as well."
7,Chicken Coop,chicken-coop,Markets & Delis,taste,Lovingston,"Counter-service kitchen inside Nelson Food Mart offering fried chicken, barbecue, burgers, and sandwiches made to order. Inside the Nelson Food Mart Exxon, Chicken Coop turns out crispy fried chicken, smoked barbecue, burgers, and hearty sandwiches plus sides like mac and cheese. It's a quick-service comfort-food counter where everything is cooked to order for dine-in or carryout. Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places. The original 30 acres was donated by Mr.",,https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd,Cars parked in front of a brick food market.,,,,,,,,,(434) 263-7818,"40 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,BBQ; Retail; Full Kitchen; Market; Deli,false,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,Experience,"Homemade chicken, barbecue, fresh burgers, mac and cheese, and variety of sandwiches. Find us at the Nelson Food Mart (Exxon Station).",Menu & Offerings,"Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places. Lovingston was defined as a “courthouse town” after the Nelson County Courthouse was built. One claim to fame is that that town jail was designed by Thomas Jefferson. Lovingston’s most historic African-American landmark is Bright Hope Baptist Church, which was built in 1870 for the freedmen and women living in Nelson. Present-day.",Experience,"Lovingstown, Virginia, as it was first named, began with a land grant and a need to build a courthouse and a county seat for the newly created Nelson County in 1809. The original 30 acres was donated by Mr. James Loving that same year and thus began the construction of this charming historic village. There were 49 lots parceled off in nearly equal measure and then sold. The lots were numbered for identification and were thereby known as those lot numbers.",Contact & Location,"Bright Hope Baptist Church, a historic African-American landmark in Lovingston that overlooks the village. The church was built along with a school in 1870 to serve the freed men and women of Nelson. The kept area has over 100 marked graves. Dinner Options in Lovingston include Vito’s Pizza & Italian Grill for classic and specialty pizzas and Italian entrees. El Mariachi Mexican Restaurant offers over one hundred menu choices and has a gift shop on-site."
8,Colleen Deli,colleen-deli,Markets & Delis,taste,Arrington,"Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar. Colleen Deli keeps the griddle hot all day with breakfast platters, daily lunch specials, subs, wraps, and homemade baked goods.",,https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY,"Gas station with red canopy, two pumps, parked cars, and convenience store in background.",,,,,,,,,(434) 263-8300,"4071 Thomas Nelson Hwy, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922,Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market,false,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922,Menu & Offerings,"Featuring sandwiches, wraps, subs and more. Homemade bake goods for your sweet tooth. Find us at the Colleen Exxon & Convenience Mart on Rt. 29 (5 miles south of Lovingston) in Nelson County.",,,,,,
9,Corner Market,corner-market,Markets & Delis,taste,Schuyler,"Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items. Corner Market in Shipman doubles as a neighborhood gas station and deli, opening early for biscuits and coffee before shifting to burgers and hot lunch items. It's a convenient restock point for anglers and river-goers headed toward the James and Tye Rivers. S during the Great Depression. Those who travel to Schuyler are encouraged to visit The Walton’s Mountain Museum.",,https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES,"Small convenience store with illuminated signs, parked car, and visible interior lights.",,,,,,,,,(434) 263-5500,"11309 James River Road, Shipman, VA 22971",josh,,,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971,Retail; Fuel; Breakfast; Deli; Lunch; Market; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971,Hours & Information,Convenience store and gas. Deli open for breakfast and lunch. Stop in and check out our deli items.,Information,S during the Great Depression. Those who travel to Schuyler are encouraged to visit The Walton’s Mountain Museum.,Menu & Offerings,"Schuyler’s forests bloom in the springtime; the rural roadways make for a gorgeous spring drive. If you’re traveling through Schuyler or want to plan a full day, start with The Walton’s Mountain Museum. The museum itself is in Hamner’s boyhood school. Displays include replicas of “The Walton’s” sets, hundreds of memorabilia items, and photographs. Next, check out Walton Hamner House, located across from the museum. Join the guided tour inside John-Boy Walton’s childhood home. The house has been.",About,"The history of Nelson County, check out The Walton’s Mountain Museum to learn more about the hit show,“The Waltons.” Another option for a history lesson stands in Arrington off Route 29. At the Oakland Museum, Visitors can view an exhibit on The Rural Electrification Act, part of Roosevelt’s New Deal. Traveling teachers and students will enjoy the exhibit depicting the history of the area schools."
10,Graves Grocery & Deli,graves-grocery-deli,Markets & Delis,community,Nellysford,"Graves Grocery & Deli is a long-running Route 151 fixture where travelers top off the tank, grab breakfast sandwiches, and order made-to-order lunches before exploring the Rockfish Valley. Friendly counter service and quick deli classics make it a reliable daily stop. Convenience store and gas. Deli open: breakfast and lunch daily.",,https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a,"Storefront with red sign, vending machines, and newspaper stands outside.",,,,,,,,,(434) 361-2504,"1779 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Retail; Fuel; Breakfast; Lunch; Deli; Market; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Hours & Information,Convenience store and gas. Deli open: breakfast and lunch daily.,,,,,,
11,Hickman's Exxon Grocery,hickmans-exxon-grocery,Markets & Delis,community,Roseland,"Exxon convenience store with breakfast and lunch deli, full game checking station, and hunting supplies. Hickman's Exxon Grocery near Beech Grove supplies fuel, hunting gear, and a hot breakfast-and-lunch deli favored by Wintergreen visitors. The store also serves as a certified game-checking station, making it a handy hub during deer, bear, and turkey seasons.",,https://ik.imagekit.io/OE/nelson-county/listings/hickman-s-exxon-grocery-image1_s5gtjxUQJ,"Small shop with red roof, 'Open' sign, and outdoor seating under sunny sky.",,,,,,,,,(434) 361-1205,"1311 Beech Grove Road, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967,Fuel; Breakfast; Lunch; Deli; Hunting; Market,false,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967,Hours & Information,Convenience Store and Gas. Deli open for Breakfast and Lunch daily. Game Checking Station (all game).,,,,,,
12,IGA Blue Ridge Grocery,iga-blue-ridge-grocery,Markets & Delis,community,Nellysford,"Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley. IGA Blue Ridge Grocery functions as Nellysford's full-service supermarket with fresh produce, meats, staples, and household basics. 2797 Rockfish Valley Highway Nellysford, VA 22958 434-361-1105.",,https://ik.imagekit.io/OE/nelson-county/listings/iga-blue-ridge-grocery-image1_9UYmGsIn7,"Grocery store facade with shopping carts, icy machine, and open sign.",,,,,,,,,(434) 361-1105,"2797 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Market; Local Ingredients; Order Pickup; Parking; Deli; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Experience,"2797 Rockfish Valley Highway Nellysford, VA 22958 434-361-1105.",,,,,,
