name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl,private,videoUrl,author,latitude,longitude,accordion1Title,accordion1Content,accordion2Title,accordion2Content,accordion3Title,accordion3Content,accordion4Title,accordion4Content,accordion5Title,accordion5Content
Rapunzel’s Coffee & Books,rapunzels-coffee-books,Attraction,culture,Lovingston,"Rapunzel’s Further Ado Foundation hosts live music every Wednesday, Friday, and Saturday evenings starting at 8pm.","<p>Rapunzel’s Coffee and Books is an eclectic arts venue, community space, coffee shop, and used bookstore located in The Packing Shed in historic Lovingston, Virginia. Rapunzel’s Further Ado Foundation hosts live music every Wednesday, Friday, and Saturday evenings starting at 8pm.</p><p>Rapunzel’s is a listening-room, living-room-style environment. Come get comfortable with a good book and a cup of coffee or tea, and settle in for an evening of music on the couch of your choice… we have free wi-fi and serve only Nelson County local brews (wine, beer, and, cider). Join us! <br><br><strong>Address:</strong> 924 Front Street, Lovingston, VA 22949<br><br><br><strong>Phone:</strong><a href='tel:4342636660'>434-263-6660</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/Rapunzels-Coffee-Books-S_X_pf3cwp6.jpg,"Red building with ESPRESSO BOOKS sign, lit by string lights in evening.",,,,,,,,https://www.rapunzelscoffeeandbooks.org/,434-263-6660,"924 Front Street Lovingston, VA 22949",,2021-11-14,2024-06-13,,,,,,,,,,,,,,,"Beer, Cider, Coffee, Live Music, Tea, Wi-Fi, Wine, Events",FALSE,https://www.google.com/maps/search/?api=1&query=924+Front+Street+Lovingston%2C+VA+22949,False,,,37.7645736,-78.8698239,,,,,,,,,,
Sweet Bliss Bakery,sweet-bliss-bakery,Attraction,culture,Nellysford,"We love supporting our local farmers, and offer seasonal desserts so they are at their peak of freshness..","<p>Our desserts are lovingly handcrafted from the finest ingredients. We love supporting our local farmers, and offer seasonal desserts so they are at their peak of freshness. We are passionate about creating fresh, decadent desserts, and seeing our clients smile. Our specialty are cheesecakes and cakes. We have over 50 flavors, and are always creating new flavors. We take our time to bake the highest quality desserts and hand- decorate each creation, so no two are alike. Many of our cakes are infused with liqueurs to enhance their natural flavors, decorated with nuts, candies, fresh fruits and a variety of chocolates. In addition to cheesecakes and cakes, we offer a full-line menu of pastry items such as pies, scones, muffins, cookies, brownies, blondies, cream puffs, eclairs and other scrumptious desserts. Our desserts carry the Virginia’s Finest label to ensure the finest quality possible. They are never frozen, and contain no preservatives, additives or fillers. Offering a homemade soup of the day and a specialty quiche of the day. 2789 Rockfish Valley Highway Nellysford, VA 22958 <br><br><strong>Phone:</strong><a href='tel:4344656776'>434-465-6776</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/Sweet-Bliss-Bakery_UbSUwIMptN.jpg,Red bakery sign with ornate gold border and lights.,,,,,,,,https://www.facebook.com/thecheesecakelady123/,434-465-6776,"2789 Rockfish Valley Highway Nellysford, VA 22958",,2024-05-16,2024-06-12,,,,,,,,,,,,,,,"Bakery, Desserts",FALSE,https://www.google.com/maps/search/?api=1&query=2789+Rockfish+Valley+Highway+Nellysford%2C+VA+22958,False,,,37.8898785,-78.87494869999999,,,,,,,,,,
Terrace Café,terrace-cafe-at-wintergreen-resort,Coffee Shops,taste,Wintergreen,"The Terrace Café proudly serves a variety of Starbucks beverages, perfect for a quick pick-me-up. Stop in to enjoy delicious breakfast sandwiches, sweet treats, and warm specialty drinks that will brighten your day. Located at 39 Mountain Inn Loop in Wintergreen, VA, the café's hours vary by season, so be sure to check in for the latest updates.","<p>Stop in for a shot of energy! The Terrace Café proudly serve Starbucks beverages. Enjoy breakfast sandwiches, sweet treats, and warm specialty drinks to brighten your day. Hours vary by season. 39 Mountain Inn Loop Wintergreen, VA 22958 <br><br><strong>Phone:</strong><a href='tel:4343258080'>434-325-8080</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/terrace-cafe_5ehuRdc9qd.jpg,,,,,,,,,https://www.wintergreenresort.com/terrace-cafe/,434-325-8080,"39 Mountain Inn Loop, Wintergreen, VA 22958",,2024-05-16,2024-05-16,,,,,,,,,,,,,,,"Breakfast, Cafe, Resort",FALSE,https://www.google.com/maps/search/?api=1&query=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,False,,,37.9157451,-78.93927649999999,,,,,,,,,,
Trager Brothers Coffee 1.0,trager-brothers-coffee-1-0,Coffee Shops,taste,Lovingston,"TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. The café pours fresh espresso, sells whole beans, and champions sustainable sourcing relationships with growers worldwide.","<p>TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. Our roasters and baristas meticulously cup each coffee we source, collectively creating roast profiles that coax out and enhance the inherent flavor characteristics that are special to each particular origin. We are proud to serve only Organic coffee and are an OCIA certified Organic coffee roastery. We are committed to bringing you the highest quality, freshest, environmentally sound coffee on the market. We believe in sourcing coffee from farms that are committed to environmental sustainability and fair wages for farmers and their families. This has led us to a lifelong pursuit of building relationships with like-minded people in the Specialty Coffee Industry and with farms and collectives throughout the world. 486 Front St Lovingston, VA 22949 <br><br><strong>Phone:</strong><a href='tel:4342638916'>434-263-8916</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7,"Two people smiling, one holding coffee logo sticker towards camera.",,,,,,,,https://www.tbcroasters.com/,434-263-8916,"486 Front St Lovingston, VA 22949",,2024-05-16,2025-07-04,,,,,,,,,,,,,,,"Coffee, Market, Organic",FALSE,https://www.google.com/maps/search/?api=1&query=486+Front+St+Lovingston%2C+VA+22949,False,,,37.7581405,-78.8705094,,,,,,,,,,
Trager Brothers Coffee 2.0,trager-brothers-coffee-2-0,Coffee Shops,taste,Afton,"Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee. TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind.","<p>TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. Our roasters and baristas meticulously cup each coffee we source, collectively creating roast profiles that coax out and enhance the inherent flavor characteristics that are special to each particular origin. We are proud to serve only Organic coffee and are an OCIA certified Organic coffee roastery. We are committed to bringing you the highest quality, freshest, environmentally sound coffee on the market. We believe in sourcing coffee from farms that are committed to environmental sustainability and fair wages for farmers and their families. This has led us to a lifelong pursuit of building relationships with like-minded people in the Specialty Coffee Industry and with farms and collectives throughout the world. 190 Rockfish Valley School Lane Afton, VA 22920 <br><br><strong>Phone:</strong><a href='tel:4342638916'>434-263-8916</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L,Barista decorating coffee foam with chocolate in a black cup.,,,,,,,,https://trager-brothers-coffee-20.goto-restaurants.com/,434-263-8916,"190 Rockfish Valley School Lane Afton, VA 22920",,2024-05-16,2025-12-02,,,,,,,,,,,,,,,"Coffee, Market, Organic",FALSE,https://www.google.com/maps/search/?api=1&query=190+Rockfish+Valley+School+Lane+Afton%2C+VA+22920,False,,,37.8744612,-78.912239,,,,,,,,,,
Afton Market,afton-market,Markets & Delis,taste,Afton,"Afton Market is a locally owned convenience stop offering fuel plus a short-order deli that fries up chicken, biscuits, and hot lunch plates. Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.","<p>Convenience store and gas. Deli open for breakfast and lunch. Specialties include fried chicken, fresh coffee and fountain drinks. 10185 Rockfish Valley Highway Afton, VA 22920 <br><br><strong>Phone:</strong><a href='tel:5404566111'>540-456-6111</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/Screenshot_2025-11-14_at_6.38.31_PM_U31i9aoWc.png,"Gas station with cars, convenience store, and trees in the background.",,,,,,,,,540-456-6111,"10185 Rockfish Valley Highway Afton, VA 22920",,2024-05-16,2024-06-12,,,,,,,,,,,,,,,"Breakfast, Coffee, Deli, Lunch, Market",FALSE,https://www.google.com/maps/search/?api=1&query=10185+Rockfish+Valley+Highway+Afton%2C+VA+22920,False,,,37.9814926,-78.83941460000001,,,,,,,,,,
Ashley’s Market,ashleys-market,Markets & Delis,taste,Afton,"Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads. Ashley's Market pairs gas pumps with a home-style deli serving breakfast biscuits, subs, fried chicken, and deli salads made to order.","<p>Locally owned convenience and gas store. The Deli is open for breakfast and lunch. Specialties include fried chicken, subs, and deli salads. 6445 Rockfish Valley Highway Afton, VA 22920 <br><br><strong>Phone:</strong><a href='tel:4343612087'>434-361-2087</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS,Market storefront under clear blue sky with vending machines outside.,,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2,Market entrance with vending machines under a clear blue sky.,,,,,https://www.facebook.com/ashleysmaket151/,434-361-2087,"6445 Rockfish Valley Highway Afton, VA 22920",,2024-05-16,2024-06-13,,,,,,,,,,,,,,,"Breakfast, Deli, Lunch, Market",FALSE,https://www.google.com/maps/search/?api=1&query=6445+Rockfish+Valley+Highway+Afton%2C+VA+22920,False,,,37.9306907,-78.8387891,,,,,,,,,,
Chicken Coop,chicken-coop,Markets & Delis,taste,Lovingston,"Inside the Nelson Food Mart Exxon, Chicken Coop turns out crispy fried chicken, smoked barbecue, burgers, and hearty sandwiches plus sides like mac and cheese. It's a quick-service comfort-food counter where everything is cooked to order for dine-in or carryout.","<p>Homemade chicken, barbecue, fresh burgers, mac and cheese, and variety of sandwiches. Located in the Nelson Food Mart (Exxon Station) 40 Front Street Afton, VA 22920 <br><br><strong>Phone:</strong><a href='tel:4342637818'>434-263-7818</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd,Cars parked in front of a brick food market.,,,,,,,,https://www.facebook.com/ashleysmaket151/,434-263-7818,"40 Front Street Afton, VA 22920",,2024-05-16,2024-06-12,,,,,,,,,,,,,,,"Deli, BBQ, Takeout",FALSE,https://www.google.com/maps/search/?api=1&query=40+Front+Street+Afton%2C+VA+22920,False,,,38.0323988,-78.8395137,,,,,,,,,,
Colleen Deli,colleen-deli,Markets & Delis,taste,Arrington,"Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.","<p>Daily fried chicken and lunch specials. Full breakfast served from open to close. Salad bar during the summer. Full menu featuring sandwiches, wraps, subs and more. Homemade bake goods for your sweet tooth. Located in the Colleen Exxon &amp; Convenience Mart on Rt. 29 (5 miles south of Lovingston) in Nelson County. 4071 Thomas Nelson Hwy Arrington VA 22922 <br><br><strong>Phone:</strong><a href='tel:4342638300'>434-263-8300</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY,"Gas station with red canopy, two pumps, parked cars, and convenience store in background.",,,,,,,,https://www.facebook.com/ashleysmaket151/,434-263-8300,4071 Thomas Nelson Hwy Arrington VA 22922,,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Bar, Breakfast, Deli, Lunch",FALSE,https://www.google.com/maps/search/?api=1&query=4071+Thomas+Nelson+Hwy+Arrington+VA+22922,False,,,37.7080243,-78.9343267,,,,,,,,,,
Corner Market,corner-market,Markets & Delis,taste,Schuyler,Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.,"<p>Convenience store and gas. Deli open for breakfast and lunch. Stop in and check out our deli items. 11309 James River Road Shipman, VA 22971 <br><br><strong>Phone:</strong><a href='tel:4342635500'>434-263-5500</a></p>",,https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES,"Small convenience store with illuminated signs, parked car, and visible interior lights.",,,,,,,,https://www.facebook.com/ashleysmaket151/,434-263-5500,"11309 James River Road Shipman, VA 22971",,2024-05-17,2024-06-13,,,,,,,,,,,,,,,"Breakfast, Deli, Lunch, Market",FALSE,https://www.google.com/maps/search/?api=1&query=11309+James+River+Road+Shipman%2C+VA+22971,False,,,37.7238848,-78.8514467,,,,,,,,,,
