"id","name","slug","type","category","area","description","detailedDescription","customHtml","image1","image1Desc","image1FileId","image2","image2Desc","image2FileId","image3","image3Desc","image3FileId","website","phone","address","authorName","publishedDate","modifiedDate","directionsLink","videoLink","document1","document1Name","document2","document2Name","amenities","featured","googleMapsUrl"
"3","Trager Brothers Coffee 1.0","trager-brothers-coffee-1-0","Coffee Shops","taste","Lovingston","TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. The café pours fresh espresso, sells whole beans, and champions sustainable sourcing relationships with growers worldwide.","","","https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7","Two people smiling, one holding coffee logo sticker towards camera.","","","","","","","","https://www.tbcroasters.com/","(434) 996-3138","486 Front Street, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","","","","","","Cafe; Coffee; Order Pickup; Organic; Tea","false","https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949"
"4","Trager Brothers Coffee 2.0","trager-brothers-coffee-2-0","Coffee Shops","taste","Afton","Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee. TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind.","","","https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L","Barista decorating coffee foam with chocolate in a black cup.","","","","","","","","https://www.tbcroasters.com/","(434) 263-8916","190 Rockfish Valley School Lane, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920","","","","","","Coffee; Organic; Bar; Tea; Cafe; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920"
"5","Afton Market","afton-market","Markets & Delis","taste","Afton","Afton Market is a locally owned convenience stop offering fuel plus a short-order deli that fries up chicken, biscuits, and hot lunch plates. Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.","","","https://ik.imagekit.io/OE/nelson-county/listings/Screenshot_2025-11-14_at_6.38.31_PM_U31i9aoWc.png","Gas station with cars, convenience store, and trees in the background.","","","","","","","","","(540) 456-6111","10185 Rockfish Valley Highway, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","","","","","","Breakfast; Coffee; Deli; Fuel; Lunch; Market; Retail; Tea; Beer","false","https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920"
"6","Ashley's Market","ashleys-market","Markets & Delis","taste","Afton","Discover Ashley's Market, a charming family-run convenience store and gas stop that offers much more than fuel. Our delightful deli features made-to-order breakfast biscuits, hearty lunch sandwiches, and crispy fried chicken, alongside a variety of fresh deli salads. Whether you're on the go or looking for a satisfying meal, Ashley's Market provides a welcoming atmosphere and comfort food that feels like home. Stop by for a quick bite or refuel both your vehicle and your appetite!","","","https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS","Market storefront under clear blue sky with vending machines outside.","","https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2","Market entrance with vending machines under a clear blue sky.","","","","","https://www.facebook.com/ashleysmaket151/","(434) 361-2087","6445 Rockfish Valley Highway, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","","","","","","Fuel; Breakfast; Deli; Lunch; Market; Hiking","false","https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920"
"7","Chicken Coop","chicken-coop","Markets & Delis","taste","Lovingston","Inside the Nelson Food Mart Exxon, Chicken Coop turns out crispy fried chicken, smoked barbecue, burgers, and hearty sandwiches plus sides like mac and cheese. It's a quick-service comfort-food counter where everything is cooked to order for dine-in or carryout.","","","https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd","Cars parked in front of a brick food market.","","","","","","","","","(434) 263-7818","40 Front Street, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","","","","","","BBQ; Retail; Full Kitchen; Market; Deli","false","https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949"
"8","Colleen Deli","colleen-deli","Markets & Delis","taste","Arrington","Welcome to Colleen Deli, your go-to spot for delicious meals at any time of the day. Indulge in a hearty all-day breakfast, savor our daily lunch specials, or choose from a variety of freshly made sandwiches and wraps. Don’t miss our delightful homemade baked goods, perfect for a sweet treat. During the summer months, enjoy our refreshing salad bar, offering a vibrant selection of seasonal ingredients. Whether you’re on the go or looking for a cozy meal, Colleen Deli has something for everyone!","","","https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY","Gas station with red canopy, two pumps, parked cars, and convenience store in background.","","","","","","","","","(434) 263-8300","4071 Thomas Nelson Hwy, Arrington, VA 22922","josh","","","https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922","","","","","","Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market","false","https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922"
"9","Corner Market","corner-market","Markets & Delis","taste","Schuyler","Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.","","","https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES","Small convenience store with illuminated signs, parked car, and visible interior lights.","","","","","","","","","(434) 263-5500","11309 James River Road, Shipman, VA 22971","josh","","","https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971","","","","","","Retail; Fuel; Breakfast; Deli; Lunch; Market; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971"
"10","Graves Grocery & Deli","graves-grocery-deli","Markets & Delis","community","Nellysford","Graves Grocery & Deli is a long-running Route 151 fixture where travelers top off the tank, grab breakfast sandwiches, and order made-to-order lunches before exploring the Rockfish Valley. Friendly counter service and quick deli classics make it a reliable daily stop.","","","https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a","Storefront with red sign, vending machines, and newspaper stands outside.","","","","","","","","","(434) 361-2504","1779 Rockfish Valley Highway, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","","","","","","Retail; Fuel; Breakfast; Lunch; Deli; Market; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958"
"11","Hickman's Exxon Grocery","hickmans-exxon-grocery","Markets & Delis","community","Roseland","Hickman's Exxon Grocery near Beech Grove supplies fuel, hunting gear, and a hot breakfast-and-lunch deli favored by Wintergreen visitors. The store also serves as a certified game-checking station, making it a handy hub during deer, bear, and turkey seasons.","","","https://ik.imagekit.io/OE/nelson-county/listings/hickman-s-exxon-grocery-image1_s5gtjxUQJ","Small shop with red roof, 'Open' sign, and outdoor seating under sunny sky.","","","","","","","","","(434) 361-1205","1311 Beech Grove Road, Roseland, VA 22967","josh","","","https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967","","","","","","Fuel; Breakfast; Lunch; Deli; Hunting; Market","false","https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967"
"12","IGA Blue Ridge Grocery","iga-blue-ridge-grocery","Markets & Delis","community","Nellysford","Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley.","","","https://ik.imagekit.io/OE/nelson-county/listings/iga-blue-ridge-grocery-image1_9UYmGsIn7","Grocery store facade with shopping carts, icy machine, and open sign.","","","","","","","","","(434) 361-1105","2797 Rockfish Valley Highway, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958","","","","","","Market; Local Ingredients; Order Pickup; Parking; Deli; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958"
