id,name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image2,image2Desc,image3,image3Desc,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl
3,Trager Brothers Coffee 1.0,trager-brothers-coffee-1-0,Coffee Shops,taste,Lovingston,"TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. Our roasters and baristas meticulously cup each coffee we source, collectively creating roast profiles that coax out and enhance the inherent flavor characteristics that are special to each particular origin.

We are proud to serve only Organic coffee and are an OCIA certified Organic coffee roastery. We are committed to bringing you the highest quality, freshest, environmentally sound coffee on the market. We believe in sourcing coffee from farms that are committed to environmental sustainability and fair wages for farmers and their families. This has led us to a lifelong pursuit of building relationships with like-minded people in the Specialty Coffee Industry and with farms and collectives throughout the world.",,,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7,"Two people smiling, one holding coffee logo sticker towards camera.",,,,,https://www.tbcroasters.com/,(434) 263-8916,"486 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,Cafe; Coffee; Order Pickup; Organic; Tea,FALSE,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
4,Trager Brothers Coffee 2.0,trager-brothers-coffee-2-0,Coffee Shops,taste,Afton,"TBC is family-owned and operated, small-batch, and completely “a mano.” We sight roast to order and do not warehouse roasted coffee of any kind. Our roasters and baristas meticulously cup each coffee we source, collectively creating roast profiles that coax out and enhance the inherent flavor characteristics that are special to each particular origin.

We are proud to serve only Organic coffee and are an OCIA certified Organic coffee roastery. We are committed to bringing you the highest quality, freshest, environmentally sound coffee on the market. We believe in sourcing coffee from farms that are committed to environmental sustainability and fair wages for farmers and their families. This has led us to a lifelong pursuit of building relationships with like-minded people in the Specialty Coffee Industry and with farms and collectives throughout the world.",,,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L,Barista decorating coffee foam with chocolate in a black cup.,,,,,https://www.tbcroasters.com/,(434) 263-8916,"190 Rockfish Valley School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Coffee; Organic; Bar; Tea; Cafe; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920
5,Afton Market,afton-market,Markets & Delis,taste,Afton,"Convenience store and gas. Deli open for breakfast and lunch. Specialties include fried chicken, fresh coffee and fountain drinks.",,,https://ik.imagekit.io/OE/nelson-county/listings/Screenshot_2025-11-14_at_6.38.31_PM_U31i9aoWc.png,"Gas station with cars, convenience store, and trees in the background.",,,,,,(540) 456-6111,"10185 Rockfish Valley Highway, Afton, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Breakfast; Coffee; Deli; Fuel; Lunch; Market; Retail; Tea; Beer,FALSE,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
6,Ashley's Market,ashleys-market,Markets & Delis,taste,Afton,"Locally owned convenience and gas store. The Deli is open for breakfast and lunch. Specialties include fried chicken, subs, and deli salads.",,,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS,Market storefront under clear blue sky with vending machines outside.,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2,Market entrance with vending machines under a clear blue sky.,,,https://www.facebook.com/ashleysmaket151/,(434) 361-2087,"6445 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,,,,,,,,,,,,,,Fuel; Breakfast; Deli; Lunch; Market; Hiking,FALSE,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
7,Chicken Coop,chicken-coop,Markets & Delis,taste,Lovingston,"Homemade chicken, barbecue, fresh burgers, mac and cheese, and variety of sandwiches.",,,https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd,Cars parked in front of a brick food market.,,,,,,(434) 263-7818,"40 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,,,,,,,,,,,,,,BBQ; Retail; Full Kitchen; Market; Deli,FALSE,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
8,Colleen Deli,colleen-deli,Markets & Delis,taste,Arrington,"Daily fried chicken and lunch specials. Full breakfast served from open to close. Salad bar during the summer. Full menu featuring sandwiches, wraps, subs and more. Homemade bake goods for your sweet tooth.

Located in the Colleen Exxon & Convenience Mart on Rt. 29 (5 miles south of Lovingston) in Nelson County.",,,https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY,"Gas station with red canopy, two pumps, parked cars, and convenience store in background.",,,,,,(434) 263-8300,"4071 Thomas Nelson Hwy, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922,,,,,,,,,,,,,,Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market,FALSE,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922
9,Corner Market,corner-market,Markets & Delis,taste,Schuyler,Convenience store and gas. Deli open for breakfast and lunch. Stop in and check out our deli items.,,,https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES,"Small convenience store with illuminated signs, parked car, and visible interior lights.",,,,,,(434) 263-5500,"11309 James River Road in Shipman, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971,,,,,,,,,,,,,,Retail; Fuel; Breakfast; Deli; Lunch; Market; Water Sports,FALSE,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971
10,Graves Grocery & Deli,graves-grocery-deli,Markets & Delis,community,Nellysford,"Convenience store and gas. Deli open: breakfast and lunch daily. 1779 Rockfish Valley Hwy. Nellysford, VA 22958 434-361-2504 Locally owned convenience and gas store. The Deli is open for breakfast and lunch. Specialties include fried chicken, subs, and deli salads.",,,https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a,"Storefront with red sign, vending machines, and newspaper stands outside.",,,,,,(434) 361-2504,"1779 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Retail; Fuel; Breakfast; Lunch; Deli; Market; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
11,Hickman's Exxon Grocery,hickmans-exxon-grocery,Markets & Delis,community,Roseland,Convenience Store and Gas. Deli open for Breakfast and Lunch daily.,,,https://ik.imagekit.io/OE/nelson-county/listings/hickman-s-exxon-grocery-image1_s5gtjxUQJ,"Small shop with red roof, 'Open' sign, and outdoor seating under sunny sky.",,,,,,(434) 361-1205,"1311 Beech Grove Road, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967,,,,,,,,,,,,,,Fuel; Breakfast; Lunch; Deli; Hunting; Market,FALSE,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967
12,IGA Blue Ridge Grocery,iga-blue-ridge-grocery,Markets & Delis,community,Nellysford,Blue Ridge Grocery provides groceries to your local community. Enjoy your shopping experience when you visit our supermarket.,,,https://ik.imagekit.io/OE/nelson-county/listings/iga-blue-ridge-grocery-image1_9UYmGsIn7,"Grocery store facade with shopping carts, icy machine, and open sign.",,,,,,(434) 361-1105,"2797 Rockfish Valley Highway, Nellysford, VA",josh,,,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,,,,,,,,,,,,,,Market; Local Ingredients; Order Pickup; Parking; Deli; Fishing,FALSE,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
