id,name,slug,type,category,area,description,detailedDescription,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,videoLink,document1,document1Name,document2,document2Name,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content,amenities,featured,googleMapsUrl,private
64,Devils Knob Trail,devils-knob-trail,Hikes & Trails,outdoor,Wintergreen Resort,"0.6-mile stroll from the Blue Ridge Overlook across catoctin greenstone ledges with rock 'gardens,' birding, and views toward Pond Hollow. 0.6-mile stroll from the Blue Ridge Overlook across catoctin greenstone ledges with rock 'gardens,' birding, and views toward Pond Hollow.",,,https://ik.imagekit.io/OE/nelson-county/listings/devils-knob-trail-image1_9-WjX9SyQ,Rocky forest trail with scattered sunlight filtering through green foliage.,,,,,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=0b9Jg-76Mug,,,,,,,,,,,,,Scenic Views; Biking; Hiking,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
65,Fortune's Cove Nature Preserve,fortunes-cove-nature-preserve,Hikes & Trails,outdoor,Lovingston,"Fortune's Cove Nature Preserve challenges hikers with a 5.3-mile loop that gains 1,500 feet before rewarding them with rocky glade vistas, rare plant communities, and a shorter lower loop option for quicker outings. Strenuous 5.3-mile loop managed by The Nature Conservancy climbing 1,500 feet through rocky glades and intact forest to panoramic cove overlooks.",,,https://ik.imagekit.io/OE/nelson-county/listings/fortune-s-cove-nature-preserve-image1__i7ZniCv5,"Trail sign on curved tree, surrounded by dense green forest.",,,,,,,,,(434) 977-4837,"1920 Fortune's Cove Lane, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=1920%20Fortune%E2%80%99s%20Cove%20Lane%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=0wCPsQBnei8,,,,,Overview,<p>Fortune’s Cove Nature Preserve protects a rugged section of forested land along the Maury River and offers a network of hiking trails through diverse natural habitats.</p><p>The preserve is managed for conservation and low-impact recreation.</p>,Trail Experience,"<p>Trails within the preserve range from <strong>moderate to strenuous</strong> and include rocky terrain, elevation changes, and river views.</p><p>Routes vary in length and can be combined for longer hikes.</p>",Safety & Stewardship,"<p>Because of steep terrain and natural hazards, visitors should remain on designated trails and follow posted guidance.</p><p>Practicing Leave No Trace principles helps protect sensitive habitats.</p>",Planning Your Visit,"<p>The preserve is best suited for experienced hikers. Visitors should plan ahead, bring adequate supplies, and be prepared for limited facilities.</p>",Hiking; Biking,false,https://www.google.com/maps/dir/?api=1&destination=1920%20Fortune%E2%80%99s%20Cove%20Lane%2C%20Lovingston%2C%20VA%2022949,false
84,The Plunge,the-plunge,Hikes & Trails,outdoor,Wintergreen Resort,"Short yellow access spur to Blackrock featuring steep pedlar gneiss formations, panoramic overlooks, and a signature family photo spot. The Plunge is a short, steep 0.2-mile connector to Blackrock Trail that packs in pedlar gneiss rock formations, dramatic overlooks, and prime family photo spots.","Miles: 0.2
Blaze Color: Yellow
Difficulty Level: Moderate (if you take your time)

Directions: <a href=https://goo.gl/maps/1p9jDyMyTjJqYpvo6 target=_blank rel=noopener noreferrer>Google Maps</a>

One of the shortest trails on the mountain, The Plunge is an excellent introduction to the beauty and natural history of the area as it serves as an access trail to the <a href=/explore/blackrock-trail>Blackrock Trail</a>. Hikers will encounter a steep climb around rock formations known as pedlar gneiss, which were created millions of years ago. The Plunge offers incredible overlooks and great family photo spots at both the top (Blackrock Park on Blackrock Circle) and the bottom of the trail. Please use extra caution in winter.

Miles: 2.6
Difficulty Level: Moderate

A 2.6-mile moderate hike along the Appalachian Trail features a wooden swinging bridge over the Tye River. The trail meanders through stands of mountain laurel and rhododendron, leading to the Harpers Creek Shelter (AT) and Harper’s Creek, where water gurgles over large cascading rocks. Multiple campsites are located on each side of the creek, and there is a vault toilet situated up the hill from the shelter.

Directions from State Route 56 at Crabtree Falls: Take SR 56 east for approximately 3-4 miles. The Appalachian Trail crosses SR 56, and an AT parking lot is available on the right (south side) of SR 56. Cross the street from the parking lot (north) onto the AT, across the swinging bridge, and continue up the trail towards Harper’s Creek Shelter.",,https://ik.imagekit.io/OE/nelson-county/listings/the-plunge-image1_RX1pJhwfh,"Rocky viewpoint overlooking lush, green mountains under clear blue sky.",,,,,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=5_RUc2yc2JU,,,,,,,,,,,,,Family Friendly; Biking; Hiking,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
68,Highlands Leisure Trail,highlands-leisure-trail,Hikes & Trails,outdoor,Wintergreen Resort,"Highlands Leisure Trail connects Wintergreen's Blackrock Village to the Wintergarden via a 0.5-mile yellow-blazed path that dips through older-growth forest and includes an overlook of the Highlands ski slopes. Half-mile connector between Blackrock Village and the Wintergarden with short climbs, older-growth forest, and an overlook of Highlands ski slopes.",,,https://ik.imagekit.io/OE/nelson-county/listings/highlands-leisure-trail-image1_14-OGVdVb,Wooded trail with steps surrounded by lush green foliage and sunlight.,,,,,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=6Hgw0sY6GOM,,,,,,,,,,,,,Scenic Views; Resort; Biking; Hiking,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
78,Old Appalachian Trail,old-appalachian-trail,Hikes & Trails,outdoor,Wintergreen Resort,"Moderate-to-difficult grades reward hikers with Shenandoah Valley vistas and quiet, historic tread. 3.3-mile former Appalachian Trail alignment with greenstone ledges, Shenandoah Valley overlooks, and spring wildflowers across multiple access points.","Miles: 3.3
Blaze Color: Red-Yellow
Difficulty Level: Moderate to Difficult

Directions: <a href=https://goo.gl/maps/ANsHVLfkx6f3PNAaA target=_blank rel=noopener noreferrer>Google Maps</a>

This trail features an array of access points and varying hike lengths, making it suitable for different skill levels. Enjoy the beautiful scenery and diverse terrain as you explore the Old Appalachian Trail.",,https://ik.imagekit.io/OE/nelson-county/listings/old-appalachian-trail-image1_mjlB71z_w,"Narrow dirt path with yellow moss, surrounded by trees in a forest.",,,,,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=7Nh0uDKNoHg,,,,,,,,,,,,,Hiking; Biking; Appalachian Trail,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
79,Paul's Creek Trail,pauls-creek-trail,Hikes & Trails,outdoor,Wintergreen Resort,Paul's Creek Trail is a 0.6-mile blue-blazed family favorite that follows a lush valley to smooth rock chutes and a series of cascading waterfalls near Crawford's Knob. Pack water shoes and a camera—the polished boulders and cool pools are irresistible on summer days.,,,https://ik.imagekit.io/OE/nelson-county/listings/paul-s-creek-trail-image1_MwER-wYqT,Forest stream flowing over rocks surrounded by trees and autumn leaves.,,,,,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=7sY95GxqXgQ,,,,,,,,,,,,,Family Friendly; Biking; Hiking; Water Sports; Swimming Pool,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
59,Blue Ridge Tunnel,blue-ridge-tunnel,Hikes & Trails,outdoor,Afton,"Walk the restored 1850s Blue Ridge Railroad tunnel on a 2.25-mile crushed-gravel path with dramatic stone portals linking Afton and the Rockfish Valley. The Blue Ridge Tunnel, engineered by Claudius Crozet in the 1850s beneath Rockfish Gap, now lets hikers and cyclists travel nearly a mile through the historic rail bore between Skyline Drive and the Blue Ridge Parkway.","The Blue Ridge Tunnel, constructed between 1850 and 1858 beneath Rockfish Gap in the Blue Ridge Mountains of central Virginia, offers a unique experience for visitors. CSX Transportation generously donated the tunnel to Nelson County in 2007.

Located at the convergence of the southern entrance of Shenandoah National Park’s Skyline Drive, the northern entrance of the Blue Ridge Parkway, the Appalachian Trail, and U.S. Bicycle Route 76, the tunnel is easily accessible. Both Interstate 64 and U.S. 250 cross over the tunnel at Rockfish Gap. Traveling through the long, dark tunnel is a stirring experience for a variety of visitors, including hikers and cyclists of every level, wildlife watchers, history enthusiasts, railroad buffs, heritage tourists, school children on field trips, and nearby residents.",,https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-tunnel-image1_PrnI6PqE9,"Cyclist with headlight in dark tunnel, wet rocky walls.",,https://ik.imagekit.io/OE/nelson-county/listings/Blue-Ridge-Tunnel-Video-Preview_orwEUvRjO.jpg,"Person holding light inside dark, arched tunnel.",,https://ik.imagekit.io/OE/nelson-county/listings/Blue-Ridge-Tunnel-Opening_QtYh0xz0N.jpg,"Stone archway entrance to dark tunnel, surrounded by rocky landscape.",,,(434) 263-7015,"215 Afton Depot Lane, Afton, VA 22920",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=215%20Afton%20Depot%20Lane%2C%20Afton%2C%20VA%2022920,https://www.youtube.com/watch?v=9TllH8bjlHQ,https://ik.imagekit.io/OE/nelson-county/listings/Blue_Ridge_Tunnel_Map_OxY941XXoL.pdf,Blue Ridge Tunnel Map,,,About the Tunnel,"<h4>History</h4>

<p>The Blue Ridge Tunnel was designed by French-born engineer Claudius Crozet (1789–1864), one of the most influential transportation engineers of the 19th century. A graduate of the École Polytechnique in Paris, Crozet later taught engineering at the U.S. Military Academy at West Point and helped found the Virginia Military Institute.</p>

<p>As chief engineer, Crozet surveyed a rail route through Rockfish Gap to connect eastern and western Virginia. His plan included several tunnels, extensive embankments, and the nearly one-mile-long Blue Ridge Tunnel between Nelson and Augusta counties.</p>

<p>Construction proved far more difficult than expected due to extremely hard rock, particularly greenstone. Despite these challenges, Irish immigrant laborers successfully bored through the mountain, meeting with remarkable precision in December 1856.</p>

<p>The tunnel opened to rail traffic on April 13, 1858, becoming the longest railroad tunnel in North America at the time. Although Crozet had resigned shortly before its completion, his engineering vision was essential to the project’s success.</p>

<p>Learn more about the tunnel’s history at the <a href='https://www.blueridgetunnel.org' target='_blank'>Blue Ridge Tunnel Foundation</a>.</p>",Trail & Park Rules,"<h4>Trail & Park Rules</h4>

<p>The Blue Ridge Tunnel Trail is open daily from <strong>sunrise to sunset</strong>. Visitors should remain aware of other trail users, watch for uneven ground inside the tunnel, and <strong>bring flashlights or headlamps</strong> at all times.</p>

<p>Trailhead parking areas are small and limited. When parking areas are full, the trail is considered full. Visitors should park only in designated spaces and never along roadways. There is no overnight parking, RV parking, or camping at either trailhead.</p>

<p>For a less strenuous experience, including improved accessibility for wheelchair users, the <strong>east trailhead</strong> is recommended. Cyclists are also encouraged to use the east side and must always yield to pedestrians.</p>

<p>Help protect the natural environment by staying on designated trails and avoiding damage to plants, trees, and wildlife. Collecting plants or animals is prohibited, and visitors should pack out all trash. Feeding wildlife and releasing balloons are not allowed.</p>

<p>Mountain bikes are permitted only on designated roads. The use of motorized vehicles, drones, fireworks, and unmanned aircraft is prohibited. Alcohol use is not permitted, and smoking is not allowed inside the tunnel.</p>

<p>Overnight camping is prohibited and considered trespassing. All visitors are expected to follow Virginia law while using the trail.</p>",Trail Conditions & What to Expect,"<h4>Trail Conditions & What to Expect</h4>

<h5>Distance & Time</h5>
<p>At a comfortable walking pace, a hike to the western portal and back typically takes about <strong>1.5 hours</strong>. The trail is approximately <strong>2.25 miles one way</strong> and <strong>4.5 miles round trip</strong> when walking from one trailhead to the other and returning.</p>

<h5>Trail Surface</h5>
<p>The trail is primarily crushed gravel with some steep inclines. Inside the tunnel, the surface may be uneven due to ruts and puddles caused by constant water drip.</p>

<h5>Lighting & Visibility</h5>
<p>The tunnel is not lit and is very dark. A <strong>high-powered flashlight or headlamp is strongly recommended</strong> for all visitors.</p>

<h5>Weather & Clothing</h5>
<p>The interior of the tunnel remains cool year-round, typically between <strong>55–65°F</strong>. Water drips continuously from the ceiling and walls, so visitors should wear appropriate clothing and sturdy, comfortable shoes.</p>

<h5>Wet Areas & Stream Crossing</h5>
<p>Puddles are common inside the tunnel. On the west side of the trail, a concrete stream crossing may have water flowing over it during or after rainstorms. Use caution in wet conditions.</p>

<h5>Facilities</h5>
<p>Portable restrooms are available at both the eastern and western parking areas but are not located along the trail. There are no water fountains on the trail, so visitors should bring drinking water.</p>",Frequently Asked Questions,"<h4>Frequently Asked Questions</h4>

<h5>Is the trail suitable for wheelchairs?</h5>
<p>The trail surface is crushed gravel. The <strong>east trail</strong> has minimal elevation change and is generally the most accessible option. The tunnel is unlit and remains cool year-round (approximately <strong>55–65°F</strong>), with constant water dripping that can create puddles and ruts. Visitors should consider these conditions when planning their visit.</p>

<h5>Trail grades and accessibility details</h5>
<p><strong>East Trail to Tunnel Entrance:</strong> 0.63 miles with a gentle average grade of approximately 1.5%.</p>
<p><strong>Tunnel:</strong> Approximately 4,273 feet long with a gradual average grade of 1.3%.</p>
<p><strong>West Trail to Tunnel Entrance:</strong> Steeper terrain with sustained grades over 5% and a maximum grade of approximately 19%. This section is more challenging.</p>

<h5>Are dogs allowed?</h5>
<p>Yes. Dogs are permitted on the trail and in the tunnel but must be kept on a leash at all times. Owners are responsible for cleaning up after their pets.</p>

<h5>How long is the trail and tunnel?</h5>
<p>The full trail from one trailhead to the other is approximately <strong>2.25 miles</strong>. The tunnel itself is nearly one mile long.</p>
<p>From the east trailhead through the tunnel: approximately <strong>1.44 miles</strong>. From the west trailhead through the tunnel: approximately <strong>1.62 miles</strong>.</p>

<h5>Who manages the trail?</h5>
<p>The trail and tunnel are owned by Nelson County and maintained by the Nelson County Parks and Recreation Department.</p>

<h5>Are restrooms or amenities available?</h5>
<p>Portable restrooms are located at both the east and west trailheads. There are no restrooms or water fountains along the trail.</p>

<h5>What are the visiting hours?</h5>
<p>The trail and tunnel are open daily from <strong>sunrise to sunset</strong>.</p>

<h5>Is the tunnel lit?</h5>
<p>No. Visitors must bring <strong>high-powered flashlights or headlamps</strong> to safely travel through the tunnel.</p>

<h5>Can I ride a bike on the trail?</h5>
<p>Yes. Cyclists are encouraged to use the east trail, which has gentler grades. The west trail is steeper and best suited for experienced riders. Bicyclists must yield to pedestrians and be prepared for wet, uneven conditions inside the tunnel.</p>",Biking; Educational; Hiking; Parking; Scenic Views,true,https://www.google.com/maps/dir/?api=1&destination=215%20Afton%20Depot%20Lane%2C%20Afton%2C%20VA%2022920,false
72,Laurel Ridge Loop,laurel-ridge-loop,Hikes & Trails,outdoor,Wintergreen Resort,"1.6-mile yellow loop sampling mountain laurel, birch, and oak-hickory forest with rocky footing and parking at Wintergreen's Lot F. 1.6-mile yellow loop sampling mountain laurel, birch, and oak-hickory forest with rocky footing and parking at Wintergreen's Lot F.",,,https://ik.imagekit.io/OE/nelson-county/listings/laurel-ridge-loop-image1_k_xUZ0XKg,Wooden trail sign with yellow and red text in forest setting.,,,,,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=a8Oc3URmNJI,,,,,Overview,"<p>The Laurel Ridge Loop is a wooded hiking trail that travels along ridgelines through dense mountain vegetation. It offers a longer, more immersive forest experience.</p>",Trail Experience,<p>The loop covers <strong>several miles</strong> and is generally considered <strong>moderate to strenuous</strong> due to elevation changes and uneven terrain.</p>,Planning Notes,"<p>Because the trail passes through remote forest, hikers should carry water, allow adequate time to complete the loop, and be prepared for limited cell service.</p>",,,Hiking; Parking; Biking,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
73,Lower Shamokin Falls Trail,lower-shamokin-falls-trail,Hikes & Trails,outdoor,Wintergreen Resort,"1.7-mile blue-blazed trek ending at Lower Shamokin Falls, weaving through dense forest after a jeep-road approach from Old Stoney Creek Road. 1.7-mile blue-blazed trek ending at Lower Shamokin Falls, weaving through dense forest after a jeep-road approach from Old Stoney Creek Road.","Miles: 1.7
Blaze Color: Blue
Difficulty Level: Moderate

Perhaps the longest destination hike on the property, the Lower Shamokin Falls Trail begins on a jeep trail and meanders through dense forest cover. The end of the trail is located at the base of a cascading waterfall that begins just below the Upper Shamokin Falls Trail.

Directions: From Rt. 151 in Nellysford, take a left onto Rt. 751 (Old Stoney Creek Road). The trail begins at the end of the road at the gate.

Miles: 2.6
Difficulty Level: Moderate

A 2.6-mile moderate hike along the Appalachian Trail traverses a wooden Swinging Bridge over the Tye River and travels through stands of mountain laurel and rhododendron to the Harpers Creek Shelter (AT) and Harper’s Creek, where the water gurgles through the large cascading rocks. Multiple campsites are on each side of the creek, and there’s a vault toilet up the hill from the shelter.

Directions: From State Route 56 at Crabtree Falls, take SR 56 east for approximately 3-4 miles. The Appalachian Trail crosses SR 56, and an AT parking lot is available to the right (south side) of SR 56. Head across the street from the parking lot (north) on the AT across the Swinging Bridge, and continue up the trail towards Harper’s Creek Shelter.",,https://ik.imagekit.io/OE/nelson-county/listings/lower-shamokin-falls-trail-image1_BIy5ezGql,Trail sign on tree reads 'Lower Shamokin Falls Trail' in lush forest.,,,,,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=a8Oc3URmNJI,,,,,,,,,,,,,Hiking; Biking; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
60,Brimstone Trail,brimstone-trail,Hikes & Trails,outdoor,Wintergreen Resort,"Steep 0.8-mile red-blazed climb skirting rocky cliffs with sweeping Three Ridges views, laurel thickets, and fern-covered 'rock gardens.' Brimstone Trail tackles 0.8 miles of rocky cliffs beneath Wintergreen's Plunge, mixing steep ups and downs, laurel thickets, and sweeping views toward Three Ridges—best tackled with care during icy months.","Miles: 0.8
Blaze Color: Red
Difficulty Level: Difficult

The steep and rocky cliffs provide incredible views of Three Ridges Mountain and points to the southwest. The trail meanders below the Plunge and consists of a series of steep, short up and down sections. Mountain laurel and rhododendron cover these dry-soiled slopes, along with chestnut oaks. These thickets are interrupted by “rock gardens” where rock cap fern and fly poison lily grow. Use caution in winter.

Miles: 2.6
Difficulty Level: Moderate

A 2.6-mile moderate hike along the Appalachian Trail traverses a wooden Swinging Bridge over the Tye River and travels through stands of mountain laurel and rhododendron to the Harpers Creek Shelter (AT) and Harper’s Creek, where the water gurgles through the large cascading rocks. Multiple campsites are on each side of the creek, and there’s a vault toilet up the hill from the shelter.

Directions: From State Route 56 at Crabtree Falls, take SR 56 east for approximately 3-4 miles. The Appalachian Trail crosses SR 56, and an AT parking lot is available to the right (south side) of SR 56. Head across the street from the parking lot (north) on the AT across the Swinging Bridge, and continue up the trail towards Harper’s Creek Shelter.",,https://ik.imagekit.io/OE/nelson-county/listings/brimstone-trail-image1_opRNVPbgI,"Rocky trail with hiker in distance, green leaves in foreground.",,https://ik.imagekit.io/OE/nelson-county/listings/brimstone-trail-image2_zX3Kal7WOD,"Wooden sign with red and yellow text, directions to trails, gravel road background.",,,,,,(434) 263-7015,"8519 Thomas Nelson Hwy, Lovingston, VA 22949",josh,2026-01-05,2026-01-12,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,https://www.youtube.com/watch?v=C90XOQeKhLw,,,,,,,,,,,,,Scenic Views; Biking; Hiking; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=8519%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,false
